fdc_id	name	Protein	Lipids	Saturated Fats	Monounsaturated Fats	Polyunsaturated	Carbohydrates	Total Sugars	Dietary Fiber	Water	Calcium	Iron	Magnesium	Phosphorus	Potassium	Sodium	Zinc	Copper	Iodine	Manganese	Selenium	Vitamin A	Vitamin E	Vitamin D	Vitamin C	Thiamin	Riboflavin	Niacin	Pantothenic acid	Vitamin B-6	Folate, total	Vitamin B-12	Choline	Vitamin K	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Histidine
2514745	Pork, ground, raw	17.80625	17.49	6.283	7.777	2.553	0	0	0	63.87	5.857	0.7876	19.03	173.3	317.7	53.63	2.226	0.0666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2514746	Chicken, ground, with additives, raw	17.9125	7.161	1.559	2.173	1.38	0	0	0	74.72	5.819	0.5926	20.51	165.5	301.7	62.95	1.177	0.03619	0	0.005025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2514747	Turkey, ground, 93% lean/ 7% fat, raw	17.34375	9.591	2.264	2.874	2.59	0	0	0	72.89	23.63	1.087	17.3	162	246.3	80.18	2.95	0.07624	0	0.01581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2515373	Nuts, brazilnuts, raw	15.03684	57.43	0	0	0	21.64216	0	5.984	2.265	167.8	2.474	351.3	706.9	592.5	0	3.824	1.739	0	1.26	280.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2515374	Nuts, cashew nuts, raw	17.4423	38.86	0	0	0	36.2887	0	4.104	4.811	41.95	5.988	250.6	532.2	638.3	4.759	5.071	2.218	0	1.949	20.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2515375	Nuts, hazelnuts or filberts, raw	13.4938	53.49	0	0	0	26.5012	0	8.41	4.309	134.7	3.465	155.8	321.1	635.9	0	2.334	1.413	0	6.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2515376	Peanuts, raw	23.205	43.28	0	0	0	26.498	0	8.014	4.816	49.13	1.554	179.7	380.4	635.6	1.493	2.78	0.4595	0	1.68	17.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2515377	Flour, chestnut	5.28675	4.636	0.689	1.256	1.515	80.45025	0	8.711	7.326	55.81	1.621	68.75	134.2	1032	0	1.038	0.581	0	2.901	0	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2515378	Nuts, macadamia nuts, raw	7.7857	64.93	0	0	0	24.0943	0	7.563	1.829	52.71	1.881	106.8	208.4	372.6	0	1.2	0.4455	0	11.3	32.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2515379	Nuts, pistachio nuts, raw	20.5057	45.02	0	0	0	27.6943	0	6.969	3.95	117.4	3.456	109.7	499.6	947	0	2.176	1.054	0	1.05	23.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2515380	Seeds, pumpkin seeds (pepitas), raw	29.9079	40.03	0	0	0	18.6751	0	5.079	6.621	37.38	8.363	499.7	1150	691.2	0	6.341	1.225	0	4.121	20.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2515381	Seeds, sunflower seed, kernel, raw	18.8733	48.44	0	0	0	24.5007	0	7.215	4.873	115.6	4.37	301.9	732	656.8	0	5.578	1.875	0	2.63	17.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
